Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2,SleepDeviation,Norm.SleepDeviation,Norm.Stress,Norm.Sport,WellBeing
62,4-1-2025 12:18:16,AI & Data Science,yes,unknown,mu,unknown,male,no,]1990-1995],300,15,5,Random,12:00 pm,A good day,A bad day,300.0,15.0,5.0,1e+184,0.0,joke,joke,1.5,0.8737727910238429,0.85,0.07246376811594203,0.5987455197132616
63,4-1-2025 12:18:16,Computer Science & Technology,yes,1,mu,ja,female,yes,]1995-2000],400,66,6,12,23:30,Sunny weather ,Good grades ,400.0,66.0,6.0,12.0,23.5,weather,study/work,1.0,0.9158485273492286,0.33999999999999997,0.08695652173913043,0.44760168302945297
64,4-1-2025 12:18:17,AI & Data Science,yes,0,mu,nee,female,yes,]2000-2005],80,80,6,47,22.00,Sunny day spent with friends ,going to a rave,80.0,80.0,6.0,47.0,22.0,weather,alchol/drugs,0.5,0.9579242636746144,0.19999999999999996,0.08695652173913043,0.41496026180458156
65,4-1-2025 12:18:17,AI & Data Science,no,0,sigma,ja,not willing to answer,yes,not possible,500,100,2,89,5,Sun,Sun,500.0,100.0,2.0,89.0,5.0,weather,weather,6.5,0.45301542776998593,0.0,0.028985507246376812,0.1606669783387876
66,4-1-2025 12:18:18,Computer Science & Technology,yes,1,unknown,ja,female,yes,]2000-2005],450,20,0,8,11,Rain,Chocolate,450.0,20.0,0.0,8.0,11.0,weather,food,11.5,0.032258064516129004,0.8,0.0,0.27741935483870966
67,4-1-2025 12:18:18,AI & Data Science,yes,0,mu,nee,male,yes,]2000-2005],450,90,10,4141,12:30am,When the sun is out,Having the time to run,450.0,90.0,10.0,4141.0,0.5,weather,sport,2.0,0.8316970546984572,0.09999999999999998,0.14492753623188406,0.3588748636434471
68,4-1-2025 12:18:19,"Business, Finance & Econometrics",yes,unknown,mu,nee,male,not willing to say,]2000-2005],220,40,9,15,23:00,Get a lot of sleep(at least 8 hours),Eat good food,220.0,40.0,9.0,15.0,23.0,sleep/rest,food,0.5,0.9579242636746144,0.6,0.13043478260869565,0.5627863487611033
69,4-1-2025 12:18:19,AI & Data Science,yes,1,mu,ja,non-binary,not willing to say,]2000-2005],250,30,4,6,2,happiness ,sun,250.0,30.0,4.0,6.0,2.0,mood,weather,3.5,0.7054698457223001,0.7,0.057971014492753624,0.48781362007168455
70,4-1-2025 12:18:20,AI & Data Science,yes,0,mu,ja,male,yes,]2000-2005],430,30,8,37,00:30,Doing things I want to do,Not having to do things I don't want to do,430.0,30.0,8.0,37.0,0.5,study/work,sleep/rest,2.0,0.8316970546984572,0.7,0.11594202898550725,0.5492130278946549
71,4-1-2025 12:18:20,AI & Data Science,yes,1,mu,ja,female,yes,]1995-2000],500,65,4,168,23:00,sun,not encountering a stressful situation,500.0,65.0,4.0,168.0,23.0,weather,mood,0.5,0.9579242636746144,0.35,0.057971014492753624,0.45529842605578935
